CENTRALE;CODE_SOCIETE;LIBELLE_SOCIETE;CODE_CLIENT_BCP;POLE_AFFILIANT;FOURNISSEUR;NOM_FOURNISSEUR;REGROUPEMENT;CA_DECLARE_FRN;CA_FRN_CRF;TOTAL_CA_DECLARE_FRN;TOTAL_ENCAISSE;MTT_A_REVERSER_DIFF;MTT_A_REV_DIFF_HORS_SYN;MTT_A_REVERSER_BCP;ECART_MTT_A_REVERSER;MTT_PREVISION_AVEC_SYNERGIE;MTT_PREVISION_HORS_SYNERGIE;Cdfop;Norca;Cient;Cdprolog;Lbetblba;Activite;Code_Ent_BCP;Libelle_entrepot;SOURCES;Carpr;Mteca;_Ca_Bn;_Ristourne_Prolog;Ecart_CA;%CA;Ecart_Ristourne;%Ristourne;DATE
CAP;144;C.S.F.              ;209;ENT GR;195;KAMBLY              ;1;0;216131,08;250345,16;1808162,94;0;0;0;0;75741,89;58451,41;195;1;2;2;CARPIQUET -EPI;EPI;209;CARPIQ-AB;NR;215780,64;1164,56;214616,08;75210,97874;-1515;-0,007009635;-530,911256;-0,00700948;30/09/2022
CAP;144;C.S.F.              ;209;ENT GR;195;KAMBLY              ;13;0;60527,64;0;47190;0;0;0;0;1827,93;1827,93;195;13;2;2;CARPIQUET -EPI;EPI;209;CARPIQ-AB;NR;69780,99;356,78;69424,21;1825,32726;8896,57;0,146983593;-2,60274;-0,001423873;30/09/2022
CAP;144;C.S.F.              ;209;ENT GR;301;LOTUS BAKERIES FRANC;2;0;327105,12;338726,76;2647066,54;0;0;0;0;125899,77;111445,16;301;2;2;2;CARPIQUET -EPI;EPI;209;CARPIQ-AB;NR;329128,09;-1509,77;330637,86;127277,3617;3532,74;0,010800014;1377,591675;0,010941971;30/09/2022
CAP;144;C.S.F.              ;209;ENT GR;301;LOTUS BAKERIES FRANC;9;0;386969,59;569157,98;3567334,22;0;0;0;0;144504,32;127090,7;301;9;2;2;CARPIQUET -EPI;EPI;209;CARPIQ-AB;NR;386172,77;-656,14;386828,91;144451,3544;-140,68;-0,000363543;-52,965627;-0,000366533;30/09/2022
CAP;144;C.S.F.              ;209;ENT GR;592;REGILAIT            ;1;0;265823,65;319408,01;2362280,63;0;0;0;0;75380,06;58378,52;592;1;2;2;CARPIQUET -EPI;EPI;209;CARPIQ-AB;NR;247583,11;77,35;247505,76;70126,24653;-18317,89;-0,068909933;-5253,81347;-0,069697656;30/09/2022
CAP;144;C.S.F.              ;209;ENT GR;1310;JOHNSON JOHNSON SANT;1;0;68879,02;0;8982226,15;0;0;0;0;26377,65;22933,7;1310;1;2;2;CARPIQUET -EPI;EPI;209;CARPIQ-AB;NR;68882,4;0;68882,4;26378,96355;3,38;4,91E-05;1,3135526;4,98E-05;30/09/2022
CAP;144;C.S.F.              ;209;ENT GR;1310;JOHNSON JOHNSON SANT;4;0;25568,3;0;3201790,62;0;0;0;0;11164,4;9118,93;1310;4;2;2;CARPIQUET -EPI;EPI;209;CARPIQ-AB;NR;25572,63;0;25572,63;11166,28889;4,33;0,00016935;1,8888895;0,000169189;30/09/2022
CAP;144;C.S.F.              ;209;ENT GR;1310;JOHNSON JOHNSON SANT;7;0;9561,72;0;773701,25;0;0;0;0;2877,12;2112,18;1310;7;2;2;CARPIQUET -EPI;EPI;209;CARPIQ-AB;NR;963,62;0;963,62;289,953258;-8598,1;-0,899221061;-2587,166742;-0,899221006;30/09/2022
CAP;144;C.S.F.              ;209;ENT GR;1310;JOHNSON JOHNSON SANT;8;0;363408,55;0;3774631,7;0;0;0;0;137700,84;115896,33;1310;8;2;2;CARPIQUET -EPI;EPI;209;CARPIQ-AB;NR;363366,98;0;363366,98;137685,1189;-41,57;-0,000114389;-15,72108;-0,000114168;30/09/2022
CAP;144;C.S.F.              ;209;ENT GR;1310;JOHNSON JOHNSON SANT;11;0;9229,54;0;1867955,67;0;0;0;0;3364;2994,82;1310;11;2;2;CARPIQUET -EPI;EPI;209;CARPIQ-AB;NR;9229,9;0;9229,9;3364,13326;0,36;3,90E-05;0,13326;3,96E-05;30/09/2022
